date,460512,567974,242896,369723,364543,500096,424099,225769,344972,424161,218220,3482019ha,3481950ha,3482022ha,3482042ha,253781,399260,600090,474807,586838,552231,620132,64895,305586ha,378729,481790,599580,564794,8452,129146
Jan-01-2015,*,*,500,475,500,495,*,*,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-02-2015,*,*,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-03-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-04-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-05-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-06-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-07-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-08-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-09-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-10-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-11-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-12-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-13-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-14-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-15-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-16-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-17-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-18-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-19-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-20-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-21-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-22-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-23-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-24-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-25-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-26-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-27-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-28-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-29-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-30-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Jan-31-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-01-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-02-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-03-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-04-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-05-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-06-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-07-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-08-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-09-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-10-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-11-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-12-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-13-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-14-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-15-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-16-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-17-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-18-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-19-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-20-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-21-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-22-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-23-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-24-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-25-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-26-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-27-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Feb-28-2015,*,550,500,475,500,495,*,500,*,*,736,736,736,736,736,439,439,415,439,439,*,439,600,*,385,*,*,*,*,*
Mar-01-2015,800,550,725,475,725,495,*,500,*,*,1074,1074,1074,1074,962,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-02-2015,800,550,725,475,725,495,*,500,*,*,1074,1074,1074,1074,962,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-03-2015,800,550,725,475,725,495,*,500,*,*,1074,1074,1074,1074,962,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-04-2015,800,550,725,475,725,495,*,500,*,*,1074,1074,1074,1074,962,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-05-2015,800,550,725,475,725,495,*,500,*,*,1074,1074,1074,1074,962,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-06-2015,800,550,725,475,725,495,*,500,*,*,1074,1074,1074,1074,962,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-07-2015,800,550,725,475,725,495,*,500,*,*,1074,1074,1074,1074,978,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-08-2015,800,795,725,475,725,495,*,500,*,*,1074,1074,1074,1074,978,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-09-2015,800,795,725,475,725,495,*,500,*,*,1074,1074,1074,1074,978,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-10-2015,800,795,725,475,725,495,*,500,*,*,1074,1074,1074,1074,978,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-11-2015,800,795,725,475,725,495,*,500,*,*,1074,1074,1074,1074,978,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-12-2015,800,795,725,475,725,495,*,500,*,*,1074,1074,1074,1074,978,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-13-2015,800,795,725,475,725,495,*,500,*,*,1074,1074,1074,1074,978,769,799,709,769,799,*,769,600,*,*,*,*,*,*,*
Mar-14-2015,800,795,725,475,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-15-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-16-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-17-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-18-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-19-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-20-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-21-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-22-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-23-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-24-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-25-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-26-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-27-2015,800,795,725,800,725,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-28-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-29-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-30-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Mar-31-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-01-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-02-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-03-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,978,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-04-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,1074,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-05-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,1074,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-06-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,1074,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-07-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,1074,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-08-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,1074,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-09-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,1074,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-10-2015,800,795,875,800,875,850,*,775,*,*,1074,1074,1074,1074,1074,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-11-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-12-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-13-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-14-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-15-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-16-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-17-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-18-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-19-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-20-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-21-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-22-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-23-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-24-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-25-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-26-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-27-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-28-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
Apr-29-2015,715,795,825,800,825,695,*,675,*,*,1010,1010,1010,1010,1010,769,799,769,769,799,*,769,735,*,*,*,*,*,*,*
